,Algorithm,Accuracy,Precision,Recall,F1 Score
0,kmeansTrain,0.8862068965517241,0.6328863586456909,0.6651815787722619,0.6405614909561753
1,kmeansTest,0.9008264462809917,0.7178571428571429,0.8135682467980604,0.7394594371386631
2,GMMTrain,0.8862068965517241,0.6328863586456909,0.6651815787722619,0.6405614909561753
3,GMMTest,0.9008264462809917,0.7178571428571429,0.8135682467980604,0.7394594371386631
4,kprototypeTrain,0.8717241379310345,0.579117913808271,0.669574343630143,0.6021085510947847
5,kprototypeTest,0.8925619834710744,0.5964285714285714,0.6836981169279307,0.6231548507879939
